date,spy_close,vix,hyg,dxy,gold,copper,eem,skew,composite_score,flow_regime,regime_signal,return_5d,return_10d,return_20d
2014-07-10,196.33999633789062,12.59000015258789,94.31999969482422,80.12999725341797,128.5399932861328,22.079999923706055,43.939998626708984,134.42999267578125,8,risk_on,STRONG_HOLD,-0.32,1.18,-2.7
2014-07-11,196.61000061035156,12.079999923706055,94.4800033569336,80.19000244140625,128.77999877929688,22.079999923706055,43.88999938964844,138.74000549316406,8,risk_on,STRONG_HOLD,0.56,0.56,-1.71
2014-07-14,197.60000610351562,11.819999694824219,94.44999694824219,80.19000244140625,125.72000122070312,21.940000534057617,44.22999954223633,139.94000244140625,8,risk_on,STRONG_HOLD,-0.13,0.1,-1.92
2014-07-15,197.22999572753906,11.960000038146973,94.30000305175781,80.38999938964844,124.52999877929688,21.950000762939453,44.20000076293945,136.9199981689453,8,risk_on,STRONG_HOLD,0.49,-0.14,-1.88
2014-07-16,197.9600067138672,11.0,94.1500015258789,80.55999755859375,124.97000122070312,21.770000457763672,44.310001373291016,134.86000061035156,8,risk_on,STRONG_HOLD,0.34,-0.5,-1.58
2014-07-17,195.7100067138672,14.539999961853027,93.48999786376953,80.5199966430664,127.08999633789062,21.889999389648438,43.47999954223633,131.64999389648438,6.9,risk_on,STRONG_HOLD,1.5,-1.34,0.03
2014-07-18,197.7100067138672,12.0600004196167,93.87999725341797,80.5199966430664,126.12999725341797,21.65999984741211,44.15999984741211,141.19000244140625,8,risk_on,STRONG_HOLD,0.01,-2.64,-1.01
2014-07-21,197.33999633789062,12.8100004196167,93.72000122070312,80.55999755859375,126.33999633789062,21.790000915527344,44.310001373291016,138.75,8,risk_on,STRONG_HOLD,0.23,-1.75,0.01
2014-07-22,198.1999969482422,12.239999771118164,93.8499984741211,80.77999877929688,125.73999786376953,21.719999313354492,44.720001220703125,136.3699951171875,8,risk_on,STRONG_HOLD,-0.63,-3.12,0.1
2014-07-23,198.63999938964844,11.520000457763672,94.02999877929688,80.80999755859375,125.62000274658203,21.84000015258789,44.7599983215332,132.5500030517578,8,risk_on,STRONG_HOLD,-0.84,-3.31,0.14
2014-07-24,198.64999389648438,11.84000015258789,94.19999694824219,80.87000274658203,124.3499984741211,22.209999084472656,44.959999084472656,133.8000030517578,8,risk_on,STRONG_HOLD,-2.8,-3.84,0.43
2014-07-25,197.72000122070312,12.6899995803833,94.04000091552734,81.02999877929688,125.79000091552734,22.049999237060547,44.779998779296875,135.25999450683594,8,risk_on,STRONG_HOLD,-2.64,-2.27,0.74
2014-07-28,197.8000030517578,12.5600004196167,93.76000213623047,81.02999877929688,125.58000183105469,21.989999771118164,45.09000015258789,135.02000427246094,8,risk_on,STRONG_HOLD,-1.98,-2.02,1.21
2014-07-29,196.9499969482422,13.279999732971191,93.62999725341797,81.20999908447266,125.19999694824219,21.93000030517578,44.81999969482422,132.35000610351562,8,risk_on,STRONG_HOLD,-2.51,-1.74,1.72
2014-07-30,196.97999572753906,13.329999923706055,93.23999786376953,81.41999816894531,124.83000183105469,22.030000686645508,44.599998474121094,130.5399932861328,8,risk_on,STRONG_HOLD,-2.49,-1.09,1.66
2014-07-31,193.08999633789062,16.950000762939453,92.4800033569336,81.45999908447266,123.38999938964844,21.959999084472656,43.81999969482422,128.7100067138672,6.9,risk_on,STRONG_HOLD,-1.07,1.38,3.65
2014-08-01,192.5,17.030000686645508,92.04000091552734,81.30000305175781,124.37999725341797,21.809999465942383,44.060001373291016,128.92999267578125,5.7,mild_risk_on,HOLD,0.38,1.67,4.26
2014-08-04,193.88999938964844,15.119999885559082,92.5999984741211,81.33000183105469,123.98999786376953,22.0,44.470001220703125,126.86000061035156,7.9,risk_on,STRONG_HOLD,-0.05,1.79,3.47
2014-08-05,192.00999450683594,16.8700008392334,92.41999816894531,81.5199966430664,123.87000274658203,21.719999313354492,43.790000915527344,126.86000061035156,6.9,risk_on,STRONG_HOLD,0.79,3.32,4.42
